Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue,Purchase,Month Number
0,0,0,0,1,0,20.00%,20.00%,0,0,Feb,1,1,1,1,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,2,64,0.00%,10.00%,0,0,Feb,2,2,1,2,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,1,0,20.00%,20.00%,0,0,Feb,4,1,9,3,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,2,2.666666667,5.00%,14.00%,0,0,Feb,3,2,2,4,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,10,627.5,2.00%,5.00%,0,0,Feb,3,3,1,4,Returning_Visitor,TRUE,FALSE,0,2
0,0,0,0,19,154.2166667,1.58%,2.46%,0,0,Feb,2,2,1,3,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,1,0,20.00%,20.00%,0,0.4,Feb,2,4,3,3,Returning_Visitor,FALSE,FALSE,0,2
1,0,0,0,0,0,20.00%,20.00%,0,0,Feb,1,2,1,5,Returning_Visitor,TRUE,FALSE,0,2
0,0,0,0,2,37,0.00%,10.00%,0,0.8,Feb,2,2,2,3,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,3,738,0.00%,2.22%,0,0.4,Feb,2,4,1,2,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,3,395,0.00%,6.67%,0,0,Feb,1,1,3,3,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,16,407.75,1.88%,2.58%,0,0.4,Feb,1,1,4,3,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,7,280.5,0.00%,2.86%,0,0,Feb,1,1,1,3,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,6,98,0.00%,6.67%,0,0,Feb,2,5,1,3,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,2,68,0.00%,10.00%,0,0,Feb,3,2,3,3,Returning_Visitor,FALSE,FALSE,0,2
2,53,0,0,23,1668.285119,0.83%,1.63%,0,0,Feb,1,1,9,3,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,1,0,20.00%,20.00%,0,0,Feb,1,1,4,3,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,13,334.9666667,0.00%,0.77%,0,0,Feb,1,1,1,4,Returning_Visitor,TRUE,FALSE,0,2
0,0,0,0,2,32,0.00%,10.00%,0,0,Feb,2,2,1,3,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,20,2981.166667,0.00%,1.00%,0,0,Feb,2,4,4,4,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,8,136.1666667,0.00%,0.83%,0,1,Feb,2,2,5,1,Returning_Visitor,TRUE,FALSE,0,2
0,0,0,0,2,0,20.00%,20.00%,0,0,Feb,3,3,1,3,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,3,105,0.00%,3.33%,0,0,Feb,3,2,1,5,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,2,15,0.00%,10.00%,0,0.8,Feb,2,4,1,3,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,1,0,20.00%,20.00%,0,0,Feb,2,2,4,1,Returning_Visitor,TRUE,FALSE,0,2
0,0,0,0,5,156,0.00%,4.00%,0,0,Feb,1,1,9,3,Returning_Visitor,FALSE,FALSE,0,2
4,64.6,0,0,32,1135.444444,0.29%,0.95%,0,0,Feb,2,2,1,3,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,4,76,5.00%,10.00%,0,0,Feb,1,1,1,3,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,4,63,0.00%,5.00%,0,0.2,Feb,2,6,1,3,Returning_Visitor,FALSE,FALSE,0,2
1,6,1,0,45,1582.75,4.35%,5.08%,54.17976426,0.4,Feb,3,2,1,1,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,2,35,0.00%,10.00%,0,0,Feb,1,1,6,3,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,3,78,0.00%,6.67%,0,0,Feb,1,2,6,6,Returning_Visitor,TRUE,FALSE,0,2
0,0,0,0,8,209.5,0.00%,2.50%,0,0,Feb,2,2,1,1,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,10,183.6666667,4.00%,8.00%,0,0,Feb,1,1,3,1,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,14,380.5,1.43%,2.86%,0,0,Feb,2,2,1,1,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,52,2086.242857,1.54%,2.04%,0,0,Feb,2,2,7,1,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,8,388,2.50%,5.63%,0,0,Feb,3,2,1,4,Returning_Visitor,TRUE,FALSE,0,2
2,18,0,0,5,298,0.00%,2.86%,0,0.8,Feb,2,2,8,4,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,7,63,2.86%,7.14%,0,0.6,Feb,2,2,1,3,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,9,482,0.00%,2.22%,0,0,Feb,2,5,1,6,Returning_Visitor,FALSE,FALSE,0,2
1,9,0,0,46,4084.393939,0.00%,0.18%,0,0,Feb,2,2,8,4,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,3,22,0.00%,6.67%,0,0.6,Feb,1,1,3,2,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,15,310.1666667,0.00%,0.67%,0,0,Feb,1,1,4,4,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,2,34,0.00%,5.00%,0,0.4,Feb,3,2,2,3,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,4,88,0.00%,5.00%,0,0,Feb,4,1,1,3,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,22,622.25,0.30%,0.61%,0,0.2,Feb,2,5,1,4,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,14,222.4,1.71%,5.71%,0,0,Feb,1,1,1,2,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,3,80,6.67%,13.33%,0,0.2,Feb,3,2,1,3,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,11,800.8333333,0.00%,0.36%,0,0,Feb,3,2,1,3,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,1,0,20.00%,20.00%,0,0.6,Feb,2,2,3,2,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,1,0,20.00%,20.00%,0,0,Feb,1,1,3,4,Returning_Visitor,TRUE,FALSE,0,2
0,0,0,0,12,265.1666667,1.11%,2.61%,0,0.2,Feb,3,2,1,3,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,2,29,0.00%,10.00%,0,1,Feb,2,4,4,2,Returning_Visitor,TRUE,FALSE,0,2
0,0,0,0,4,160,0.00%,7.50%,0,0,Feb,4,2,2,3,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,4,135.6666667,5.00%,2.50%,0,0.4,Feb,3,3,1,4,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,1,0,20.00%,20.00%,0,0.2,Feb,2,4,1,3,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,1,0,20.00%,20.00%,0,0.6,Feb,3,2,3,3,Returning_Visitor,FALSE,FALSE,0,2
4,56,2,120,36,998.7416667,0.00%,1.47%,19.44707913,0.2,Feb,2,2,4,1,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,4,104,0.00%,5.00%,0,0.4,Feb,2,6,6,3,Returning_Visitor,FALSE,FALSE,0,2
2,16,0,0,16,381.6865079,1.18%,4.66%,0,0.6,Feb,2,4,2,1,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,6,169,0.00%,1.67%,0,0.4,Feb,1,1,3,3,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,8,400.8,5.00%,12.08%,0,0,Feb,1,1,1,3,Returning_Visitor,FALSE,FALSE,0,2
12,279.4166667,0,0,42,1553.583333,0.90%,1.97%,38.30849268,0,Feb,1,1,3,2,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,14,706.5,0.00%,0.71%,0,0,Feb,2,2,5,4,Returning_Visitor,TRUE,FALSE,0,2
0,0,0,0,1,0,20.00%,20.00%,0,0,Feb,2,2,4,3,Returning_Visitor,FALSE,FALSE,0,2
3,87.83333333,0,0,27,798.3333333,0.00%,1.26%,22.9160357,0.8,Feb,2,2,3,1,Returning_Visitor,FALSE,TRUE,1,2
4,44,0,0,90,6951.972222,0.22%,1.50%,0,0,Feb,4,1,1,3,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,1,0,20.00%,20.00%,0,0.6,Feb,2,2,5,1,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,18,902,0.00%,0.74%,0,0,Feb,2,7,2,4,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,1,0,20.00%,20.00%,0,0.2,Feb,3,2,3,3,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,1,0,20.00%,20.00%,0,0,Feb,2,6,1,2,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,20,197.3777778,2.50%,5.25%,0,0,Feb,2,6,6,1,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,2,43,0.00%,10.00%,0,0.4,Feb,2,2,3,3,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,8,426.6666667,0.00%,1.25%,0,0,Feb,2,4,3,2,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,3,135,0.00%,6.67%,0,0,Feb,2,4,3,3,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,16,588.3333333,0.00%,2.50%,0,0,Feb,2,4,1,1,Returning_Visitor,FALSE,FALSE,0,2
10,1005.666667,0,0,36,2111.341667,0.43%,1.45%,11.43941195,0,Feb,2,6,1,2,Returning_Visitor,FALSE,TRUE,1,2
0,0,0,0,2,76,0.00%,5.00%,0,0.6,Feb,3,2,3,3,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,1,0,20.00%,20.00%,0,1,Feb,1,1,1,3,Returning_Visitor,TRUE,FALSE,0,2
0,0,0,0,1,0,20.00%,20.00%,0,0.4,Feb,1,1,1,3,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,7,208,0.00%,2.86%,0,0,Feb,4,1,1,5,Returning_Visitor,TRUE,FALSE,0,2
0,0,0,0,4,270,0.00%,1.67%,0,0.8,Feb,1,1,1,3,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,6,39.5,0.00%,2.00%,0,0,Feb,2,2,1,3,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,12,375,1.67%,5.83%,0,0,Feb,3,2,4,1,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,1,0,20.00%,20.00%,0,0.8,Feb,2,2,2,1,Returning_Visitor,TRUE,FALSE,0,2
0,0,0,0,1,0,20.00%,20.00%,0,0,Feb,1,1,1,3,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,7,150,5.71%,8.57%,0,0,Feb,2,2,2,1,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,3,138,0.00%,6.67%,0,0,Feb,1,1,1,3,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,7,337.5,2.86%,2.38%,0,0.4,Feb,4,1,3,3,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,19,620.0333333,0.00%,0.79%,0,0,Feb,1,1,4,2,Returning_Visitor,FALSE,FALSE,0,2
2,36,0,0,15,168.8461538,0.00%,1.18%,0,0.4,Feb,1,1,1,3,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,1,0,20.00%,20.00%,0,0,Feb,1,1,1,2,Returning_Visitor,TRUE,FALSE,0,2
0,0,0,0,2,52,0.00%,10.00%,0,0,Feb,1,1,1,3,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,13,649.25,0.00%,1.54%,0,0,Feb,2,2,1,5,New_Visitor,FALSE,FALSE,0,2
0,0,0,0,27,925.3333333,0.37%,2.59%,0,0.6,Feb,4,1,3,3,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,2,33,0.00%,10.00%,0,0.2,Feb,1,1,1,3,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,6,1566.5,5.00%,6.67%,0,0.2,Feb,1,1,1,3,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,4,105,0.00%,2.50%,0,0.6,Feb,1,1,1,4,Returning_Visitor,FALSE,FALSE,0,2
0,0,1,0,7,50,3.81%,8.10%,0,0.6,Feb,2,4,1,7,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,16,644.2,0.42%,3.17%,0,0,Feb,3,2,3,4,Returning_Visitor,FALSE,FALSE,0,2
3,18.33333333,0,0,38,2635.177778,0.00%,0.89%,0,0.4,Feb,2,4,1,2,Returning_Visitor,FALSE,FALSE,0,2
4,61,0,0,19,607,0.00%,2.70%,17.53595893,1,Feb,1,1,7,4,Returning_Visitor,TRUE,TRUE,1,2
0,0,0,0,6,415,0.00%,3.33%,0,0.4,Feb,1,1,3,2,Returning_Visitor,FALSE,FALSE,0,2
2,31,1,16,36,2083.530952,0.00%,1.35%,0,0.8,Feb,2,2,4,3,Returning_Visitor,FALSE,FALSE,0,2
3,58.5,0,0,17,281.6666667,0.71%,1.76%,0,0,Feb,1,1,3,4,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,2,27,15.00%,15.00%,0,0,Feb,1,1,7,2,Returning_Visitor,FALSE,FALSE,0,2
0,0,1,0,9,215,4.44%,7.41%,0,0.8,Feb,4,1,1,3,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,12,162,5.00%,6.67%,0,0,Feb,1,1,1,3,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,2,114,5.00%,6.67%,0,0.8,Feb,3,3,1,3,Returning_Visitor,FALSE,FALSE,0,2
6,326.25,4,94,128,5062.213753,0.09%,1.79%,0,0,Feb,2,5,1,3,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,4,253,0.00%,1.67%,0,0.6,Feb,2,2,3,3,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,4,0,20.00%,20.00%,0,0.4,Feb,2,2,1,3,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,1,0,20.00%,20.00%,0,0.8,Feb,1,1,2,3,Returning_Visitor,FALSE,FALSE,0,2
2,22,0,0,25,436.5,0.80%,2.40%,0,0.2,Feb,2,4,1,1,Returning_Visitor,FALSE,FALSE,0,2
0,0,1,93,30,1045.833333,1.29%,3.55%,0,0.2,Feb,1,1,1,3,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,12,317.8333333,0.00%,0.56%,0,0,Feb,1,1,1,4,Returning_Visitor,TRUE,FALSE,0,2
0,0,0,0,21,1146.333333,0.00%,1.30%,0,0.8,Feb,3,2,1,3,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,11,577,1.82%,2.73%,0,0.2,Feb,2,2,3,1,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,8,95,0.00%,7.50%,0,0,Feb,4,1,3,3,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,6,301.5,0.00%,11.11%,0,0,Feb,2,4,9,3,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,6,243,0.00%,3.33%,0,0,Feb,2,4,4,1,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,4,135.5,0.00%,5.00%,0,0.6,Feb,2,2,1,2,Returning_Visitor,FALSE,FALSE,0,2
0,0,2,75,14,442.3333333,0.00%,3.44%,0,0.8,Feb,1,1,3,3,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,3,41,0.00%,6.67%,0,0,Feb,1,1,3,3,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,11,292.9,2.80%,11.95%,0,0,Feb,2,4,3,1,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,1,0,20.00%,20.00%,0,0,Feb,1,1,3,3,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,9,1238.333333,0.00%,4.07%,0,0.4,Feb,2,2,1,3,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,10,225.4666667,0.00%,5.00%,0,0.4,Feb,1,1,8,3,Returning_Visitor,FALSE,FALSE,0,2
4,462,0,0,51,1873.216667,0.00%,0.75%,0,0.6,Feb,2,2,9,3,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,3,13,13.33%,16.67%,0,0,Feb,2,4,1,1,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,2,222,0.00%,10.00%,0,0,Feb,2,6,1,2,Returning_Visitor,TRUE,FALSE,0,2
2,20,0,0,16,214.8333333,0.00%,2.22%,0,0,Feb,2,2,1,6,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,1,0,20.00%,20.00%,0,0,Feb,3,2,3,3,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,6,2017.166667,0.00%,1.11%,0,0.8,Feb,2,2,4,3,Returning_Visitor,FALSE,FALSE,0,2
6,111.5,0,0,26,449.0277778,0.00%,1.85%,0,0.6,Feb,1,1,3,3,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,6,158.1666667,0.00%,3.33%,0,0,Feb,3,2,4,2,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,9,303.6666667,0.56%,4.63%,0,0,Feb,2,4,5,2,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,3,25,0.00%,6.67%,0,0,Feb,2,4,1,5,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,2,42,5.00%,15.00%,0,0.4,Feb,2,2,1,4,Returning_Visitor,FALSE,FALSE,0,2
4,103.625,0,0,14,1003.416667,0.00%,1.80%,0,0.2,Feb,1,1,3,3,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,1,0,20.00%,20.00%,0,0,Feb,2,2,7,3,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,9,272.5,0.00%,1.19%,0,0.2,Feb,1,1,6,3,Returning_Visitor,FALSE,FALSE,0,2
3,19,0,0,8,344,0.00%,0.74%,0,0,Feb,2,4,2,3,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,1,0,20.00%,20.00%,0,0,Feb,2,2,2,3,Returning_Visitor,FALSE,FALSE,0,2
0,0,1,19,10,852,0.00%,0.91%,0,0,Feb,2,2,3,6,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,3,780,6.67%,6.67%,0,0.4,Feb,2,4,1,3,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,3,1038,0.00%,3.33%,0,0,Feb,2,2,1,1,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,4,573,0.00%,5.00%,0,0,Feb,2,2,3,3,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,28,1231.233333,0.71%,3.04%,0,0,Feb,1,1,4,3,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,11,316.6666667,0.00%,2.73%,0,0.8,Feb,2,2,2,1,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,20,873.7365079,0.75%,2.82%,0,0,Feb,1,2,1,1,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,1,0,20.00%,20.00%,0,0.4,Feb,2,2,3,4,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,4,16,10.00%,15.00%,0,0,Feb,2,5,5,1,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,19,615,0.00%,2.63%,0,0.2,Feb,2,2,3,3,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,9,261.75,0.00%,2.67%,0,0,Feb,2,6,1,1,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,21,615.8831169,3.33%,4.99%,0,0,Feb,3,2,2,1,Returning_Visitor,TRUE,FALSE,0,2
0,0,0,0,1,0,20.00%,20.00%,0,0,Feb,3,3,3,2,Returning_Visitor,TRUE,FALSE,0,2
0,0,0,0,6,117.5,0.00%,3.33%,0,0.8,Feb,1,1,1,3,Returning_Visitor,TRUE,FALSE,0,2
0,0,0,0,23,501.6666667,0.87%,1.88%,0,0.6,Feb,1,1,4,2,Returning_Visitor,FALSE,FALSE,0,2
2,58,2,22,31,829.1666667,3.03%,4.06%,0,0,Feb,1,1,1,1,Returning_Visitor,TRUE,FALSE,0,2
1,9.5,0,0,23,1223,1.52%,1.25%,0,0,Feb,1,1,1,2,Returning_Visitor,TRUE,FALSE,0,2
0,0,0,0,6,467,0.00%,1.67%,0,0.4,Feb,1,1,3,3,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,23,737.1666667,0.87%,1.16%,0,0.6,Feb,2,2,1,3,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,12,129,0.00%,3.33%,0,0,Feb,1,1,3,2,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,5,63,0.00%,4.00%,0,0,Feb,2,2,1,3,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,5,125,8.67%,16.67%,0,0,Feb,2,2,1,3,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,11,684.3333333,1.82%,6.36%,0,0,Feb,2,4,6,1,Returning_Visitor,FALSE,FALSE,0,2
0,0,0,0,20,665.4722222,0.00%,1.45%,0,0.8,Feb,3,2,7,4,Returning_Visitor,TRUE,FALSE,0,2
1,0,0,0,15,487.5,0.00%,1.92%,0,0.8,Feb,1,1,2,4,Returning_Visitor,TRUE,FALSE,0,2
